"it_algo","diff_f","diff_g","error_in","error_out","max_diff_flow","couple_1","couple_2"
57,8.3350858282497e-06,4.36474569992729e-06,2.11680731709009e-06,2.11680731701877e-06,8.95746865569311,1035,876
58,7.52155260102915e-06,3.87442238260835e-06,1.87805407967223e-06,1.878054079573e-06,8.72900132283337,1035,876
59,6.81021653211534e-06,3.44478661017017e-06,1.66823983285473e-06,1.668239832881e-06,8.51004116264835,1035,876
60,6.18797506157251e-06,3.06858139672152e-06,1.48355634764409e-06,1.48355634759908e-06,8.30002583299995,1035,876
61,5.64284656716379e-06,2.7392177026289e-06,1.32081994659291e-06,1.32081994651853e-06,8.09843635191339,1035,876
62,5.16611886034145e-06,2.45753471998908e-06,1.17733654212875e-06,1.1773365420627e-06,7.90479347554788,1035,876
63,4.68769181829335e-06,2.17785584021046e-06,1.04430493681749e-06,1.04430493674024e-06,7.75583418347242,1035,876
64,4.13545630056127e-06,1.91996156068877e-06,9.22941477274357e-07,9.22941477272701e-07,7.66224348590401,1035,876
65,3.70737781721676e-06,1.72401797824372e-06,8.20829906988014e-07,8.20829906882124e-07,7.57120613430379,1035,876
66,3.38474983502607e-06,1.55078693024061e-06,7.32989137532921e-07,7.39746540391389e-07,7.48191156829614,1035,876
67,3.12248963040862e-06,1.40305214455402e-06,6.55979394021928e-07,7.11791184967536e-07,7.39512187601792,1035,876
68,2.89911051480808e-06,1.27672618147549e-06,5.88403722505725e-07,6.87053442730659e-07,7.31038534078107,1035,876
69,2.70669986189264e-06,1.16719389563389e-06,5.29170196558279e-07,6.64092746107008e-07,7.22757702012882,1035,876
70,2.53972089404491e-06,1.07205808244093e-06,4.77249682284479e-07,6.42677042863332e-07,7.14662415110331,1035,876
71,2.39405330244972e-06,9.89208447803864e-07,4.31875109648031e-07,6.2258253529443e-07,7.06746402727663,1035,876
72,2.26684001768836e-06,9.16855480103161e-07,3.92101383331748e-07,6.0399992808192e-07,6.99003826025535,1035,876
73,2.15716796621745e-06,8.53545441926184e-07,3.57259833566056e-07,5.86842902542577e-07,6.91428983831906,1035,876
74,2.06280039026204e-06,7.98159707004977e-07,3.26777538583403e-07,5.70929686336676e-07,6.84016489649298,1035,876
75,1.98035876763319e-06,7.49705129916408e-07,3.00127391044185e-07,5.5622765971455e-07,6.76761213864268,1035,876
76,1.90823088041769e-06,7.07360746159679e-07,2.76832329754453e-07,5.4268882704534e-07,6.69658200173217,1035,876
77,1.84512431740198e-06,6.70342489778049e-07,2.56487232124011e-07,5.30227532347151e-07,6.62702695173448,1035,876
78,1.78988341566023e-06,6.37829099397288e-07,2.38696072912749e-07,5.18824009648545e-07,6.55890137713664,1035,876
79,1.74135584239167e-06,6.09286153283958e-07,2.23168862788426e-07,5.0832730746904e-07,6.49216164761162,1035,876
