"stop_names","label","line_nbr","direction","passengers_in","passengers_out","travel_time","stopping_time","flow_l_in","flow_l_out","flow_n_in","transfers_in","transfers_in%","diff_in","err_in%","flow_n_out","transfers_out","transfers_out%","diff_out","err_out%"
"S68_A_CDESU_N","Corsy-Dessus",68,"A",1013.25104,8035.7188,137.372621313035,24.9979805,1097.64266908571,7951.32717091429,1004.002,0,0,-93.641,-8.531,7928.998,0.004,0,-22.325,-0.281
"S68_A_LANDA_E","Lutry, Landar",68,"A",1382.0513,2427.4211,100.232591358172,24.8559705,1466.44292908571,2343.02947091429,1469.111,0,0,2.668,0.182,2336.451,0,0,-6.578,-0.281
"S68_A_ECHER_E","Lutry, Echerins",68,"A",485.27017,982.8192,32.304021894336,9.4337579,569.661799085714,898.427570914286,570.689,0,0,1.027,0.18,895.905,0,0,-2.523,-0.281
"S68_A_CROIX_S","Lutry, Croix/Lutry",68,"A",555.5318,4717.0425,30.0843592330979,20.0911471,639.923429085714,4632.65087091429,641.081,0,0,1.158,0.181,4619.644,0,0,-13.007,-0.281
"S68_A_CROIX_T","Lutry, Croix/Lutry",68,"A",0,1222.891,NA,11.717833,0,1138.49937091429,0,0,NA,0,NA,1135.303,0,0,-3.196,-0.281
"S68_R_CROIX_T","Lutry, Croix/Lutry",68,"R",1723.2925,0,45.0422417398578,413.4792627,1787.488603,0,1790.74,0,0,3.251,0.182,0,0,NA,0,NA
"S68_R_ECHER_O","Lutry, Echerins",68,"R",1141.6841,1112.2571,133.466409266409,6.5939034,1205.880203,1048.060997,1208.077,0,0,2.197,0.182,1045.118,0,0,-2.943,-0.281
"S68_R_LANDA_P","Lutry, Landar",68,"R",2099.0142,1712.2968,184.912707609116,12.7117117,2163.210303,1648.100697,2180.481,0.025,0.001,17.296,0.8,1643.473,0,0,-4.628,-0.281
"S68_R_CDESU_S","Corsy-Dessus",68,"R",3598.6738,1298.2036,62.7350592478104,24.1535986,3662.869903,1234.007497,3691.888,0,0,29.018,0.792,1230.543,0,0,-3.464,-0.281
"S68_R_BRULE_E","Brûlées",68,"R",4715.1387,1406.9131,126.153469177199,42.3249614,4779.334803,1342.716997,4817.058,0,0,37.723,0.789,1338.947,0,0,-3.77,-0.281
"S68_R_PONFI_O","Ponfilet",68,"R",3896.7913,1318.5345,59.3986591026302,14.3791591,3960.987403,1254.338397,3992.197,0,0,31.21,0.788,1250.817,0,0,-3.521,-0.281
