"origin","destination","time"
"LION_G ","MEZ-V_N",7290
"LION_G ","R-14A_N",8581
"LION_G ","CORC_N ",5477
"LION_G ","CAVEN_N",5190
"LION_G ","CHARM_E",9481
"LION_G ","1-AOU_S",8226
"LION_G ","PZROS_E",6483
"LION_G ","CSROC_O",4541
"LION_G ","FOYER_O",2482
"LION_G ","VRNEY_E",5603
"LION_G ","FLON_I ",4921
"LION_G ","DRCOL_N",5103
"LION_G ","VLARS_N",9421
"LION_G ","GREY_E ",5527
"LION_G ","SORGE_E",8758
"LION_G ","MTELY_E",6035
"LION_G ","FREYR_O",4476
"LION_G ","LYGAR_C",6212
"LION_G ","PBERT_O",3339
"LION_G ","VJEUN_S",6370
"LION_G ","PONTE_S",9155
"LION_G ","CHFON_S",1852
"LION_G ","VOISD_E",5991
"LION_G ","LANDA_T",4732
"LION_G ","MARTI_S",4296
"LION_G ","BOVRA_D",4033
"LION_G ","RGRAU_N",3356
"LION_G ","OUCHY_O",6041
"LION_G ","CHOCO_N",3907
"LION_G ","BLECH_N",4991
"LION_G ","ESPER_E",4695
"LION_G ","CORC_S ",5395
"LION_G ","VMOUL_O",4808
"LION_G ","CASAR_S",7353
"LION_G ","PRAZC_S",1664
"LION_G ","CLOSL_N",5123
"LION_G ","PUBLO_O",3193
"LION_G ","JOLTT_O",5120
"LION_G ","MOUN_N ",8397
"LION_G ","R-VIL_E",7518
"LION_G ","PPEL_O ",5719
"LION_G ","BOISY_E",5548
"LION_G ","BRGES_O",8667
"LION_G ","COPOZ_N",4172
"LION_G ","TNEL_N ",4794
"LION_G ","MTELY_M",5966
"LION_G ","SAUGI_E",7997
"LION_G ","PDETT_O",4544
"LION_G ","SOMAI_O",5277
"LION_G ","MARCO_N",8962
"LION_G ","DPLES_S",5540
"LION_G ","CHENE_E",7650
"LION_G ","PZROS_O",6541
"LION_G ","RCFFN_G",8435
"LION_G ","BRETI_S",5493
"LION_G ","MOUSQ_O",4435
"LION_G ","DST_E  ",6166
"LION_G ","PJOR_N ",7378
"LION_G ","CHT_M  ",1405
"LION_G ","CHATL_N",8770
"LION_G ","PERON_N",1515
"LION_G ","FOREL_P",6599
"LION_G ","MALAD_E",6737
"LION_G ","PREFY_E",8502
"LION_G ","VALCY_E",6222
"LION_G ","EPSIC_O",5642
"LION_G ","SALA_C ",3568
"LION_G ","PCHLY_P",3274
"LION_G ","JURA_E ",8807
"LION_G ","BUDR_S ",4770
"LION_G ","R-PIS_S",7979
"LION_G ","THALD_O",5553
"LION_G ","PAQUE_E",8964
"LION_G ","CH_O   ",5343
"LION_G ","MALEY_R",6763
"LION_G ","MLEYN_N",6809
"LION_G ","CIBLE_S",6017
"LION_G ","BENJC_S",4528
"LION_G ","LISIE_S",4227
"LION_G ","INDUS_E",8378
"LION_G ","BNETT_R",7573
"LION_G ","MALEY_D",6772
"LION_G ","CRISS_S",8900
"LION_G ","CUGYP_N",5207
"LION_G ","VMOUL_S",4832
"LION_G ","PJOR_S ",7359
"LION_G ","AUBEP_N",5855
"LION_G ","SOMAI_E",5250
"LION_G ","BRELA_S",5567
"LION_G ","BROYE_E",7216
"LION_G ","FLUM_S ",7017
"LION_G ","MARTH_N",7514
"LION_G ","PRELA_O",6172
"LION_G ","CROND_S",3354
"LION_G ","BER_B  ",14486
"LION_G ","EPSIC_E",5631
"LION_G ","CASAR_N",7307
"LION_G ","BUPT_A ",10444
"LION_G ","BOSON_D",5424
"LION_G ","MTSI_E ",5329
"LION_G ","FROIL_B",4988
