"","code_arret_theo","libelle_arret_theo2","code_ligne_theo","direction_voy_theo","sequence_theo","montees","descentes"
"266","GMONT_T","Grand-Mont",8,"A",36,0,155674.3
"267","GMONT_T","Grand-Mont",8,"R",1,140052.52,0
"268","GMONT_S","Grand-Mont",8,"R",2,27597.715,1378.2037
"269","COPOZ_S","Coppoz",8,"R",3,31105.598,2085.599
"270","COPOP_S","Coppoz-Poste",8,"R",4,68068.29,9907.535
"271","PMONT_S","Petit-Mont",8,"R",5,91192.17,14329.515
"272","COTES_S","Côtes",8,"R",6,62644.727,14879.461
"273","MARTI_S","Martines",8,"R",7,27542.672,9942.768
"274","RIONZ_S","Rionzi",8,"R",8,75934.484,17571.29
"275","GGETT_S","Grangette",8,"R",10,46478.58,8206.749
"276","BELVO_S","Bellevaux",8,"R",11,96331.4,21754.41
"277","FORET_S","Forêt",8,"R",12,205054.25,38419.887
"278","MOTTE_S","Motte",8,"R",13,130607.44,27500.822
"279","VMOUL_S","Vieux-Moulin",8,"R",14,115191.516,38793.855
"280","GBORD_S","Grande-Borde",8,"R",15,165004.36,34109.695
"281","MEMIS_S","Mémise",8,"R",16,85085.484,40386.64
"282","TNEL_S ","Tunnel",8,"R",17,48965.395,71543.39
"283","RIP_S  ","Riponne-M. Béjart",8,"R",18,80203.02,490241.44
"284","B-AIR_D","Bel-Air",8,"R",19,80458.5,327953.12
"285","SF_S   ","St-François",8,"R",20,260366.12,161283.92
"286","GTE_S  ","Georgette",8,"R",21,105369.375,66469.82
"287","ALPES_S","Alpes",8,"R",22,18918.758,50481.82
"288","JURIG_S","Jurigoz",8,"R",23,9870.244,73739.36
"289","MTSI_S ","Montchoisi",8,"R",24,36673.016,118794
"290","MUSEO_E","Musée Olympique",8,"R",25,32156.355,28830.105
"291","DENAN_E","Denantou",8,"R",26,2724.4265,13830.729
"292","THALD_E","Tour Haldimand",8,"R",28,13305.535,42940.676
"293","BNIER_E","Bourdonnière",8,"R",29,2079.4172,17240.633
"294","VRNEY_E","Verney",8,"R",30,3421.3945,30724.004
"295","CNIER_E","Châtaignier",8,"R",31,4718.3296,36487.91
"296","SOMAI_E","Somais",8,"R",32,11760.005,64935.836
"297","PPORT_E","Pully, port",8,"R",33,2185.5823,33775.145
"298","VIGNE_E","Vignes",8,"R",34,1196.4882,57031.367
"299","VERRI_E","Verrière",8,"R",36,3431.9526,60634.57
"300","VERRI_O","Verrière",8,"R",37,0,59493.258
"301","LUTRY_B","Lutry, Corniche",9,"A",1,132968.34,0
"302","VOISD_O","Voisinand",9,"A",2,230092.94,13430.658
"303","GPONT_O","Grand-Pont",9,"A",3,108156.15,8785.689
"304","MARRO_O","Marronnier",9,"A",5,74445.92,10857.933
"305","PAUDX_O","Paudex, Village",9,"A",6,80115.6,17895.105
"306","MLINS_O","Moulins",9,"A",8,127868.555,12916.777
"307","REYM_O ","Reymondin",9,"A",9,60641.57,18576.469
"308","CLERG_O","Pully, Clergère",9,"A",10,221631.1,101167.33
"309","MTILL_O","Montillier",9,"A",11,66339.28,26457.426
"310","PDETT_O","Perraudettaz",9,"A",12,275722.94,58464.164
"311","ESPER_O","Bonne-Espérance",9,"A",14,113610.11,36319.656
"312","LEMAN_O","Avenue du Léman",9,"A",15,48268.016,31206.725
"313","EGLAN_O","Eglantine",9,"A",16,113728.83,38702.277
"314","GTE_O  ","Georgette",9,"A",17,65106.977,195331.9
"315","SF_O   ","St-François",9,"A",18,311922.44,643208.9
"316","B-AIR_O","Bel-Air",9,"A",19,454277.12,276371.7
"317","CH_O   ","Chauderon",9,"A",20,344754.75,195834.36
"318","BOST_N ","Boston",9,"A",21,156676.69,77218.836
"319","SPAUL_O","St-Paul",9,"A",22,57351.777,301486.28
