"stop_names","label","line_nbr","direction","passengers_in","passengers_out","travel_time","stopping_time","flow_l_in","flow_l_out","sigma_in","transferts_in","transferts_in%","diff_in","err_in%","sigma_out","transferts_out","transferts_out%","diff_out","err_out%"
"S2_A_P-RIV_O","Parc Rivier",2,"A",8565.81,158021.52,73.1158630588485,29.0797173,7572.558968,159014.771032,7572.559,0,0,0,0,159069.968,0,0,55.197,0.035
"S2_A_DST_O","Désert",2,"A",6718.454,101637.875,40.0327046709526,33.0069374,5725.202968,102631.126032,5725.203,0,0,0,0,102666.751,0,0,35.625,0.035
"S2_A_DST_E","Désert",2,"A",0,81859.445,NA,10.5416811,0,82852.696032,0,0,NA,0,NA,82881.456,0,0,28.76,0.035
"S2_R_DST_E","Désert",2,"R",176241.5,0,77.9380411111701,359.2840942,176247.35935,0,176247.359,0,0,0,0,0,0,NA,0,NA
"S2_R_P-RIV_E","Parc Rivier",2,"R",129947.13,6347.693,41.8076003188945,33.3445052,129952.98935,6341.83365,129952.989,0,0,0,0,6344.035,0,0,2.201,0.035
"S2_R_PIERF_E","Pierrefleur",2,"R",71073.06,12045.046,33.6112381661525,26.4425724,71078.91935,12039.18665,71078.919,0,0,0,0,12043.366,0,0,4.179,0.035
"S2_R_GREY_E","Grey",2,"R",25189.607,22462.162,62.2017907433976,21.4288374,25195.46635,22456.30265,25195.466,0,0,0,0,22464.098,0,0,7.795,0.035
"S2_R_BOISY_E","Boisy",2,"R",89064.05,15772.279,92.9921543681086,33.9189117,89069.90935,15766.41965,89067.945,1.988,0.002,0.024,0,15771.893,0,0,5.473,0.035
"S2_R_BERG_E","Bergières",2,"R",145322.86,41808.336,48.879691475827,34.0472328,145328.71935,41802.47665,145328.719,0,0,0,0,41723.815,91.451,0.219,12.789,0.031
"S2_R_PRBYT_E","Presbytère",2,"R",92521.19,12588.893,45.2201182804254,26.6104485,92527.04935,12583.03365,92527.049,0,0,0,0,12587.401,0,0,4.367,0.035
"S2_R_BLIEU_E","Beaulieu",2,"R",70528.31,25687.139,62.7354884943069,26.0645503,70534.16935,25681.27965,70534.169,0,0,0,0,25690.194,0,0,8.914,0.035
"S2_R_BLIJO_E","Beaulieu-Jomini",2,"R",42953.3,49684.99,63.8573632277454,51.8253576,42959.15935,49679.13065,42951.462,7.737,0.018,0.04,0,27055.361,22372.131,45.033,-251.639,-0.507
"S2_R_VINET_E","Vinet",2,"R",52914.89,26141.943,55.7699590447317,26.8372563,52920.74935,26136.08365,52920.749,0,0,0,0,26145.156,0,0,9.072,0.035
"S2_R_VAL_S","Valentin",2,"R",27385.555,42550.156,65.7596054135978,29.2070103,27391.41435,42544.29665,8233.521,19125.906,69.824,-31.987,-0.117,40653.89,1910.109,4.49,19.702,0.046
"S2_R_RNEUV_S","Rue Neuve",2,"R",18549.762,271064,110.464672319096,59.1505225,18555.62135,271058.14065,10389.106,8127.933,43.803,-38.582,-0.208,271152.231,0,0,94.09,0.035
"S2_R_B-AIR_D","Bel-Air",2,"R",83525.5,144532.06,54.2971342383107,69.0361052,83531.35935,144526.20065,25059.408,58500.748,70.034,28.797,0.034,139307.399,5279.694,3.653,60.892,0.042
"S2_R_SF_S","St-François",2,"R",166546.4,138648.92,123.660249725943,65.3042908,166552.25935,138643.06065,49965.678,117821.845,70.742,1235.264,0.742,138441.661,250.231,0.18,48.831,0.035
"S2_R_GTE_D","Georgette",2,"R",118564.266,51500.555,137.233054956897,69.2007968,118570.12535,51494.69565,42755.503,75460.995,63.643,-353.627,-0.298,49093.507,2421.132,4.702,19.943,0.039
"S2_R_CLOSL_D","Closelet",2,"R",25582.252,67485.09,45.8409268489829,26.3157597,25588.11135,67479.23065,25588.111,0,0,0,0,67502.654,0,0,23.423,0.035
"S2_R_MTFLI_S","Mont-Fleuri",2,"R",38861.332,37116.14,52.136557112069,25.8563654,38867.19135,37110.28065,38867.191,0,0,0,0,37123.162,0,0,12.881,0.035
"S2_R_CX-OY_S","Croix d'Ouchy",2,"R",12329.658,79903.91,58.9900092557304,30.5271821,12335.51735,79898.05065,12335.517,0,0,0,0,79925.785,0,0,27.734,0.035
"S2_R_JDILS_S","Jordils",2,"R",2410.4092,18010.947,52.231169893646,21.0356346,2416.26855,18005.08765,1137.679,1265.044,52.355,-13.546,-0.561,17701.1,312.135,1.734,8.147,0.045
"S2_R_B-RIV_S","Beau-Rivage",2,"R",10269.206,78422.81,80.071510391098,29.0077993,10275.06535,78416.95065,10275.065,0,0,0,0,78444.171,0,0,27.22,0.035
"S2_R_OUCHY_O","Ouchy-Olympique",2,"R",135002.4,79233.625,100.29613559322,43.6139748,135008.25935,79227.76565,96965.736,37503.23,27.778,-539.293,-0.399,74152.167,5093.598,6.429,17.999,0.023
"S2_R_PECH_O","Pêcheurs",2,"R",11939.958,50125.656,59.4319573107969,20.6610712,11945.81735,50119.79665,11945.817,0,0,0,0,50137.194,0,0,17.397,0.035
"S2_R_BVE_O","Bellerive",2,"R",11682.031,62138.883,60.25350308053,24.7968742,11687.89035,62133.02365,11687.89,0,0,0,0,62154.591,0,0,21.567,0.035
"S2_R_TVIDY_O","Théâtre de Vidy",2,"R",4102.247,117710.83,94.6166666666667,32.0495338,4108.10635,117704.97065,4038.122,69.782,1.699,-0.202,-0.005,117307.841,440.731,0.374,43.601,0.037
"S2_R_MALL_O","Maladière-Lac",2,"R",4991.6763,90443.11,89.4805162571358,108.1375225,4997.53565,90437.25065,4997.536,0,0,0,0,90468.643,0,0,31.392,0.035
"S2_R_MALL_E","Maladière-Lac",2,"R",0,26366.344,NA,9.0715921,0,26360.48465,0,0,NA,0,NA,26369.635,0,0,9.15,0.035
"S3_A_GARE_B","Lausanne-Gare",3,"A",1033232,0,142.689821773674,289.5596456,1034097.63722727,0,1030845.882,3270.447,0.316,18.692,0.002,0,0,NA,0,NA
"S3_A_VLARD_O","Villard",3,"A",36920.93,38711.336,82.4535014518534,29.4425968,37786.5672272727,37845.6987727273,37786.567,0,0,0,0,37858.836,0,0,13.137,0.035
"S3_A_CECIL_N","Cécil",3,"A",110232.266,139651.73,131.867819996864,69.9161064,111097.903227273,138786.092772727,111068.556,30.085,0.027,0.738,0.001,60672.324,77586.243,55.903,-527.526,-0.38
"S3_A_CH_N","Chauderon",3,"A",343558.16,370470.25,58.9013123496811,53.0913605,344423.797227273,369604.612772727,314669.571,29775.908,8.645,21.682,0.006,369732.91,0.001,0,128.298,0.035
"S3_A_SROCH_N","St-Roch",3,"A",57578.906,102157,103.241347762442,34.2333996,58444.5432272727,101291.362772727,19557.034,38813.575,66.411,-73.934,-0.127,101326.523,0,0,35.16,0.035
"S3_A_BLIJO_M","Beaulieu-Jomini",3,"A",103905.375,170223,77.7884992547266,39.7965548,104771.012227273,169357.362772727,102304.215,2454.464,2.343,-12.333,-0.012,169407.277,8.902,0.005,58.816,0.035
"S3_A_MTBLC_N","Mont-Blanc",3,"A",12693.612,156618.36,73.3322617740839,31.549358,13559.2492272727,155752.722772727,13559.249,0,0,0,0,155574.527,234.432,0.151,56.236,0.036
"S3_A_CAS_N","Casernes",3,"A",47983.64,163663.9,94.767696855684,33.9328838,48849.2772272727,162798.262772727,20596.519,28060.692,57.443,-192.066,-0.393,162848.025,6.793,0.004,56.555,0.035
"S3_A_ROUVR_N","Rouvraie",3,"A",24907.684,125987.52,54.1704000628783,35.2282457,25773.3212272727,125121.882772727,7731.996,18284.569,70.944,243.244,0.944,125165.315,0,0,43.432,0.035
"S3_A_MOTTE_N","Motte",3,"A",10021.749,95708.055,58.6252647543341,26.3853127,10887.3862272727,94842.4177727273,10887.386,0,0,0,0,94875.34,0,0,32.922,0.035
"S3_A_FORET_N","Forêt",3,"A",9975.41,212435,83.0408002933012,38.7788615,10841.0472272727,211569.362772727,10840.829,0.221,0.002,0.003,0,211621.075,24.463,0.012,76.175,0.036
"S3_A_BELVO_B","Bellevaux",3,"A",0,234427.6,NA,11.6267742,0,233561.962772727,0,0,NA,0,NA,227195.686,6443.596,2.759,77.319,0.033
"S3_R_BELVO_B","Bellevaux",3,"R",252734.69,0,110.359044635865,411.1804156,251955.221104545,0,116198.897,135773.68,53.888,17.356,0.007,0,0,NA,0,NA
"S3_R_FORET_S","Forêt",3,"R",212402.88,10183.737,55.8572062315702,37.0819107,211623.411104545,10963.2058954545,140287.931,71352.581,33.717,17.101,0.008,10730.15,266.367,2.43,33.311,0.304
"S3_R_MOTTE_S","Motte",3,"R",158345.44,18740.543,76.8848523817178,42.4459174,157565.971104545,19520.0118954545,136943.102,20641.331,13.1,18.462,0.012,19526.788,0,0,6.776,0.035
"S3_R_VMOUL_O","Vieux-Moulin",3,"R",65874.82,16141.721,92.3522792693777,35.4561873,65095.3511045455,16921.1898954545,24238.864,40777.658,62.643,-78.829,-0.121,16926.725,0.339,0.002,5.874,0.035
"S3_R_CAS_S","Casernes",3,"R",128189.805,54767.52,44.629598618452,35.8148061,127410.336104545,55546.9888954545,124052.74,3282.266,2.576,-75.33,-0.059,55566.256,0.015,0,19.282,0.035
"S3_R_MTBLC_S","Mont-Blanc",3,"R",77945.8,12620.656,80.3202385311503,28.6668324,77166.3311045455,13400.1248954545,49679.349,27291.926,35.368,-195.056,-0.253,13404.776,0,0,4.651,0.035
"S3_R_BLIJO_D","Beaulieu-Jomini",3,"R",54805.312,100643.46,94.4743714113421,46.3427316,54025.8431045455,101422.928895455,41569.831,12289.473,22.747,-166.539,-0.308,30437.44,172199.825,169.784,101214.336,99.794
"S3_R_SROCH_S","St-Roch",3,"R",105110.34,101766.305,108.860355991297,36.2223067,104330.871104545,102545.773895455,74404.975,29926.101,28.684,0.205,0,100167.682,2415.089,2.355,36.997,0.036
"S3_R_PT-CH_S","Pont Chauderon",3,"R",261413.34,195913.12,74.2421748020762,37.3147561,260633.871104545,196692.588895455,157685.215,102912.306,39.485,-36.35,-0.014,196760.865,0,0,68.276,0.035
"S3_R_CECIL_S","Cécil",3,"R",98043.35,86792.83,82.6253051581572,31.5195827,97263.8811045455,87572.2988954545,97263.881,0,0,0,0,83695.707,3919.84,4.476,43.248,0.049
"S3_R_VLARD_E","Villard",3,"R",7978.6807,46509.95,86.6692150170648,19.3644573,7199.21180454546,47289.4188954545,7199.212,0,0,0,0,47305.834,0,0,16.415,0.035
"S3_R_GARE_B","Lausanne-Gare",3,"R",0,761616.3,NA,10.4995495,0,762395.768895455,0,0,NA,0,NA,762660.413,0,0,264.644,0.035
"S4_A_PLY-G_1","Pully, gare",4,"A",235461.72,0,40.7554121902499,367.6240518,235510.161568421,0,235312.241,197.505,0.084,-0.416,0,0,0,NA,0,NA
"S4_A_PREAU_O","Préau",4,"A",29901.617,2572.1184,41.1821887485153,16.5757977,29950.0585684211,2523.67683157895,29950.059,0,0,0,0,2503.516,20.606,0.817,0.445,0.018
"S4_A_JOLTT_O","Joliette",4,"A",53890.664,12373.682,62.4330795810388,23.3358439,53939.1055684211,12325.2404315789,53939.106,0,0,0,0,12329.519,0,0,4.279,0.035
"S4_A_RAMUZ_O","C. F. Ramuz",4,"A",74851.38,32350.648,56.4775285448214,24.5990174,74899.8215684211,32302.2064315789,74899.822,0,0,0,0,32313.419,0,0,11.213,0.035
"S4_A_PPTAY_O","Pierraz-Portay",4,"A",57381.273,22312.393,38.3239581083999,24.2627743,57429.7145684211,22263.9514315789,57429.715,0,0,0,0,22271.68,0,0,7.729,0.035
"S4_A_METAI_O","Métairie",4,"A",33552.812,18844.934,70.8245041221125,19.7549935,33601.2535684211,18796.4924315789,23902.429,9901.738,29.468,202.913,0.604,18803.017,0,0,6.525,0.035
"S4_A_MTSI_N","Montchoisi",4,"A",162252.02,42437.617,52.934511491123,39.106005,162300.461568421,42389.1754315789,162300.462,0,0,0,0,39253.672,3162.755,7.461,27.252,0.064
"S4_A_JURIG_N","Jurigoz",4,"A",61188.203,18239.934,87.1930063454887,60.9359819,61236.6445684211,18191.4924315789,61236.645,0,0,0,0,18197.807,0,0,6.315,0.035
"S4_A_ALPES_N","Alpes",4,"A",58172.25,31740.578,93.1230325571367,30.6000163,58220.6915684211,31692.1364315789,21110.747,37116.696,63.752,6.751,0.012,31703.137,0,0,11.001,0.035
"S4_A_GTE_N","Georgette",4,"A",78700.31,100818.03,165.171409214092,64.3807727,78748.7515684211,100769.588431579,26028.324,52837.562,67.096,117.134,0.149,73177.336,27617.772,27.407,25.52,0.025
"S4_A_SF_O","St-François",4,"A",211416.38,274651.47,145.940810212323,78.0709037,211464.821568421,274603.028431579,181353.189,30085.725,14.227,-25.908,-0.012,274698.223,0.124,0,95.319,0.035
"S4_A_B-AIR_O","Bel-Air",4,"A",306389.6,152759.66,80.966487133453,43.8305849,306438.041568421,152711.218431579,306438.031,0.011,0,0,0,152764.228,0,0,53.01,0.035
"S4_A_CH_O","Chauderon",4,"A",315895.5,121680.58,130.768687244329,79.9572503,315943.941568421,121632.138431579,315943.942,0,0,0,0,58051.895,63311.475,52.052,-268.768,-0.221
"S4_A_ECOMM_N","Ecole Commerce",4,"A",39258.508,167715.34,84.9690483154732,37.7722998,39306.9495684211,167666.898431579,39306.95,0,0,0,0,167725.099,0,0,58.201,0.035
"S4_A_AUBEP_N","Aubépines",4,"A",21310.994,127433.84,87.8866464582004,31.9920228,21359.4355684211,127385.398431579,21359.436,0,0,0,0,127429.617,0,0,44.219,0.035
"S4_A_DRANS_N","Dranse",4,"A",14467.126,124142.33,74.0130605947758,30.5670602,14515.5675684211,124093.888431579,14515.568,0,0,0,0,124136.964,0,0,43.076,0.035
"S4_A_BETHA_N","Béthanie",4,"A",6899.541,156102.08,45.2376177049529,30.1928499,6947.98256842105,156053.638431579,6947.983,0,0,0,0,156107.808,0,0,54.17,0.035
"S4_A_RAPIL_N","Rapille",4,"A",2450.0244,109997.36,42.1306591477363,26.2004841,2498.46596842105,109948.918431579,2498.466,0,0,0,0,109987.084,0,0,38.166,0.035
