"Lines","mean_error","sd_error","param"
5,1.00781791213216,0.00700550081287903,0.6
6,1.04136514987097,0.0052608009584685,0.6
7,1.0867197595916,0.00372688022771686,0.6
8,1.10971809779856,0.00367707667647852,0.6
2,0.734055748083788,0.0507245068737974,0.7
3,1.02100924171128,0.025350596230277,0.7
4,1.18995748802535,0.0116208613037588,0.7
5,1.30027696630931,0.00743367959653678,0.7
6,1.36162102935411,0.00551084372084192,0.7
7,1.42074208096014,0.00442575418994487,0.7
8,1.45950388776436,0.00375041092713857,0.7
2,0.879353058095162,0.0522538579786905,0.8
3,1.24147714271354,0.0252188887605559,0.8
4,1.46209619745978,0.0115852012883684,0.8
5,1.60765661194986,0.00823893261815774,0.8
6,1.70091978092405,0.00537778183826236,0.8
7,1.77534510583166,0.00442179810951663,0.8
8,1.82830622781251,0.00384001300152578,0.8
2,1.0261022734208,0.0550617867864894,0.9
3,1.4670711789306,0.0250677766365343,0.9
4,1.74800994713933,0.0118689412421178,0.9
5,1.93108259677393,0.00900445626636799,0.9
6,2.05568817550897,0.0054433218653912,0.9
7,2.14516069425376,0.00433604206432863,0.9
8,2.21371078386187,0.00401727500047735,0.9
