"it_algo","diff_f","diff_g","error_in","error_out","max_diff_flow","couple_1","couple_2"
140,1.95881022639558e-06,3.29960079434423e-07,6.93976862408979e-08,3.27878257544866e-07,3.56786225360725,1035,876
141,1.94173916892721e-06,3.27902072369679e-07,6.91785214475735e-08,3.24602311358063e-07,3.54233039290148,1035,876
142,1.92495109067434e-06,3.25867388303689e-07,6.89618133917307e-08,3.21372665233628e-07,3.51716092495263,1035,876
143,1.9084970569934e-06,3.23863455826899e-07,6.87478372423151e-08,3.18192415755595e-07,3.49234620651555,1035,876
144,1.89234207606204e-06,3.21889581501415e-07,6.85366171100946e-08,3.15059655483967e-07,3.46787878191049,1035,876
145,1.87648209492602e-06,3.19946248122095e-07,6.83283333359203e-08,3.11973876677154e-07,3.44375142289005,1035,876
146,1.86092206906562e-06,3.18033024808431e-07,6.81230354053813e-08,3.08934159907717e-07,3.41995709167958,1035,876
147,1.84564593213947e-06,3.16149588043725e-07,6.79207483479912e-08,3.05939765106052e-07,3.39648894515676,1035,876
148,1.83064489705857e-06,3.14295460240986e-07,6.77214596234128e-08,3.02989865658674e-07,3.3733403250896,1035,876
149,1.81591536779439e-06,3.124701604025e-07,6.75251430676159e-08,3.00083644224037e-07,3.35050475353938,1035,876
150,1.80144917272141e-06,3.10673178281617e-07,6.73317613530389e-08,2.97220272097373e-07,3.32797592630317,1035,876
151,1.78724071600667e-06,3.08904001106377e-07,6.71412714890245e-08,2.94398929994464e-07,3.30574770731681,1035,876
152,1.77328652501015e-06,3.07162113946196e-07,6.69536267251909e-08,2.91618809613639e-07,3.28381412299842,1035,876
153,1.75958094724066e-06,3.0544700778613e-07,6.6768778320135e-08,2.88879118242886e-07,3.26216935692219,1035,876
154,1.74612293765185e-06,3.03758179623869e-07,6.65866766134563e-08,2.86179078533634e-07,3.24080774467507,1035,876
155,1.73290390240073e-06,3.02095134441901e-07,6.64072716594022e-08,2.83517930633662e-07,3.2197237689233,1035,876
156,1.71991675687166e-06,3.00457386574398e-07,6.62305137424154e-08,2.8089493075712e-07,3.1989120546628,1035,876
157,1.70716109860005e-06,2.98844460341496e-07,6.60563537076635e-08,2.78309352346292e-07,3.1783673646737,1035,876
158,1.69464897284127e-06,2.97255887051141e-07,6.58847431473457e-08,2.75760485204368e-07,3.15808459512391,1035,876
159,1.68235756413156e-06,2.9569121061712e-07,6.57156343766989e-08,2.73247634991748e-07,3.13805877135445,1035,876
160,1.67027978229526e-06,2.94149982504116e-07,6.55489807344678e-08,2.7077012332998e-07,3.11828504382464,1035,876
161,1.65841215202608e-06,2.92631763875476e-07,6.53847364076829e-08,2.68327287280868e-07,3.09875868420016,1035,876
162,1.64675253511618e-06,2.91136126904547e-07,6.52228565543199e-08,2.65918478657213e-07,3.07947508159299,1035,876
163,1.63530338409046e-06,2.89662649046675e-07,6.5063297285933e-08,2.63543064337704e-07,3.06042973894063,1035,876
164,1.62407706547585e-06,2.88210920671969e-07,6.49060156725596e-08,2.61200424872628e-07,3.04161826951696,1035,876
165,1.613056118629e-06,2.86780538455439e-07,6.47509696514986e-08,2.58889954971666e-07,3.02303639356876,1035,876
166,1.60222812994235e-06,2.85371108216505e-07,6.4598118113713e-08,2.56611062863618e-07,3.00467993507846,1035,876
167,1.59158884710378e-06,2.83982243517071e-07,6.44474208265969e-08,2.54363169707966e-07,2.98654481864423,1035,876
168,1.58113363817905e-06,2.82613960926719e-07,6.42988384197891e-08,2.52145709667956e-07,2.96862706646198,1035,876
169,1.5708572509148e-06,2.81265913742439e-07,6.41521615870463e-08,2.49957849875807e-07,2.95092279563556,1035,876
170,1.56075529694099e-06,2.7993675784441e-07,6.40071476622196e-08,2.47798674243218e-07,2.93342821548288,1035,876
171,1.55082626604849e-06,2.81103875620902e-07,6.53250612293531e-08,2.44215364019035e-07,2.91613962446644,1035,876
172,1.53742609934004e-06,2.80565362078112e-07,6.56319747532188e-08,2.41921066208028e-07,2.8990570758906,1035,876
173,1.52438822194463e-06,2.79042871376582e-07,6.53134639687279e-08,2.40234457686938e-07,2.88217177581816,1035,876
174,1.51391221071518e-06,2.77784292539012e-07,6.51437790614138e-08,2.38272908324605e-07,2.86547959534806,1035,876
175,1.50450192085429e-06,2.76566117858766e-07,6.50175189315321e-08,2.3624965046644e-07,2.84897945020759,1035,876
176,1.49530757053004e-06,2.75363659092595e-07,6.48957599649154e-08,2.34249819799215e-07,2.83266824410651,1035,876
177,1.48630287201847e-06,2.7417396508758e-07,6.47720211329369e-08,2.32280842739185e-07,2.81654254492094,1035,876
178,1.47747260560406e-06,2.72996385777531e-07,6.46469743910889e-08,2.30338347171519e-07,2.80059919344637,1035,876
179,1.46880066932579e-06,2.71832149528718e-07,6.45218929167101e-08,2.28420046070235e-07,2.784835130126,1035,876
180,1.4602769776587e-06,2.70681948918484e-07,6.43975240428212e-08,2.26525290580057e-07,2.76924735360097,1035,876
181,1.45190096871774e-06,2.6954632365819e-07,6.42742511145657e-08,2.24653973143546e-07,2.75383292393457,1035,876
182,1.443670725719e-06,2.68425510006877e-07,6.41522663779114e-08,2.22805972600246e-07,2.73858896500184,1035,876
183,1.43558813153628e-06,2.68370470864702e-07,6.40316706829556e-08,2.22144257044288e-07,2.72351266426756,1035,876
