"stop_names","label","line_nbr","direction","passengers_in","passengers_out","travel_time","stopping_time","flow_l_in","flow_l_out"
"S4_R_RAPIL_S","Rapille",4,"R",106390.73,4781.2085,48.0016394809237,29.6141682,105302.995423684,5868.94307631579
"S4_R_BETHA_S","Béthanie",4,"R",123994.89,10185.688,77.845602334306,30.0050574,122907.155423684,11273.4225763158
"S4_R_DRANS_S","Dranse",4,"R",124927.25,18156.03,119.578072443221,34.6017785,123839.515423684,19243.7645763158
"S4_R_ECOMM_S","Ecole Commerce",4,"R",90554.234,47500.562,111.192298067566,35.0863425,89466.4994236842,48588.2965763158
"S4_R_SROCH_E","St-Roch",4,"R",38361.547,86444.83,73.8226232516753,66.6317253,37273.8124236842,87532.5645763158
"S4_R_ALE_O","Chauderon-Ale",4,"R",29686.598,147982.9,134.876067781519,42.482051,28598.8634236842,149070.634576316
"S4_R_B-AIR_C","Bel-Air",4,"R",204399.62,234694.16,153.051309041835,56.3419069,203311.885423684,235781.894576316
"S4_R_SF_S","St-François",4,"R",247394.69,158141.9,101.579563713609,64.8041835,246306.955423684,159229.634576316
"S4_R_GTE_S","Georgette",4,"R",91463.33,51441.586,88.9473268943001,56.8787276,90375.5954236842,52529.3205763158
"S4_R_ALPES_S","Alpes",4,"R",17339.395,51106.17,94.3247258577998,49.464345,16251.6604236842,52193.9045763158
"S4_R_JURIG_S","Jurigoz",4,"R",6528.1094,72114.08,67.7094887757027,30.5840113,5440.37482368421,73201.8145763158
"S4_R_MTSI_E","Montchoisi",4,"R",45216.06,113382.1,45.7639106265853,41.0475921,44128.3254236842,114469.834576316
"S4_R_METAI_E","Métairie",4,"R",13718.313,27563.855,36.6374382641082,18.7142857,12630.5784236842,28651.5895763158
"S4_R_PPTAY_E","Pierraz-Portay",4,"R",13173.639,54975.523,57.7801494994198,24.0979678,12085.9044236842,56063.2575763158
"S4_R_RAMUZ_E","C. F. Ramuz",4,"R",22137.904,78748.23,64.246087425796,25.4981515,21050.1694236842,79835.9645763158
"S4_R_JOLTT_E","Joliette",4,"R",7343.425,60141.08,45.154956559279,24.9948192,6255.69042368421,61228.8145763158
"S4_R_PLY-G_1","Pully, gare",4,"R",0,180313.62,NA,12.7435634,0,181401.354576316
"S6_A_MALAD_N","Maladière",6,"A",175278.2,0,91.1304035973406,477.8640141,175450.364123913,0
"S6_A_MTOIE_E","Montoie",6,"A",107241.625,9345.049,82.4553480288024,35.0166074,107413.789123913,9172.88487608696
"S6_A_FIGUI_E","Figuiers",6,"A",122777.9,7629.784,49.5205589153067,34.1861671,122950.064123913,7457.61987608696
"S6_A_MT-OR_E","Mont d'Or",6,"A",80856.79,6038.8457,82.6878552116096,29.23174,81028.954123913,5866.68157608696
"S6_A_FNAY_N","Fontenay",6,"A",114860.58,9123.109,39.2588342390555,33.0867958,115032.744123913,8950.94487608696
"S6_A_LGDOC_N","Languedoc",6,"A",53335.906,4194.2163,52.1467188922296,25.9323605,53508.0701239131,4022.05217608696
"S6_A_M-DUF_N","Pont Marc Dufour",6,"A",72311.76,49464.984,131.197424300921,31.9846358,72483.924123913,49292.8198760869
"S6_A_CECIL_N","Cécil",6,"A",71975.97,127632.7,147.783063092874,68.8672164,72148.134123913,127460.535876087
"S6_A_CH_E","Chauderon",6,"A",238888.36,209852.12,104.237698911223,44.4819202,239060.524123913,209679.955876087
"S6_A_B-AIR_C","Bel-Air",6,"A",289944.62,173640.36,146.72930935327,59.5797215,290116.784123913,173468.195876087
"S6_A_SF_P","St-François",6,"A",330791.12,151242.1,170.623030904674,70.2546756,330963.284123913,151069.935876087
"S6_A_BESS_N","Bessières",6,"A",182646.75,164137.6,107.107881760547,46.9275843,182818.914123913,163965.435876087
