"code_arret_theo","libelle_arret_theo","lat_arret","lon_arret"
"RCFFN_N","""Renens-Gare nord""",46.537754,6.579631
"JOLTT_E","""Joliette""",46.509953,6.6536
"FLON_E ","""Lausanne-Flon""",46.521576,6.629503
"DENAN_E","""Denantou""",46.508064,6.638474
"BOCHT_S","""Bochet""",46.513336,6.559456
"SERV_N ","""Servion, poste/croisée""",46.572952,6.781423
"CHAVP_B","""Chavannes-R., Plaine""",46.528755,6.572435
"LISIE_N","""Lisière""",46.532486,6.637734
"CHT_N  ","""Chalet-à-Gobet""",46.56471,6.691645
"CDESO_O","""Corsy-Dessous""",46.513687,6.680037
"EPFL_R ","""EPFL""",46.522255,6.565697
"THLA_T ","""Tour Haldimand-Lac""",46.505383,6.640689
"RAVES_E","""Pully, Ravessoud""",46.539295,6.697329
"SAVOI_S","""Savoie""",46.516174,6.701282
"GBORD_S","""Grande-Borde""",46.529682,6.631884
"HERMI_S","""Hermitage""",46.53044,6.636109
"MTBLC_S","""Mont-Blanc""",46.52997,6.626705
"MARTH_S","""Cheseaux-sur-Lausanne, Martheray""",46.581306,6.596551
"CAVEN_S","""Cugy VD, Cavenette""",46.580124,6.635645
"BRESS_N","""Bressonnaz, Village""",46.65181,6.788953
"CROIS_D","""Epalinges, Croisettes""",46.543274,6.66159
"RNEUV_N","""Rue Neuve""",46.523323,6.630897
"BALAN_N","""Montpreveyres, Balances""",46.57565,6.736109
"MLINE_O","""UNIL-Mouline""",46.524952,6.5796
"CAROU_N","""Carrouge VD, centre""",46.606342,6.77633
"OSCHE_N","""Osches""",46.508606,6.654166
"CECIL_S","""Cécil""",46.520718,6.622726
"BELMT_O","""Belmont-s-L., Centre""",46.519955,6.678215
"CHISA_S","""Crissier, Chisaz""",46.550335,6.576797
"CERIS_F","""Cerisaie""",46.527557,6.566381
"METAI_E","""Métairie""",46.509937,6.641052
"TIVOL_O","""Tivoli""",46.5212,6.622158
"DRANS_N","""Dranse""",46.530468,6.616231
"PMOL_O ","""Parc Musée Olympique""",46.506992,6.634555
"TIMON_O","""Crissier, Timonet""",46.555363,6.574317
"BRULE_O","""Brûlées""",46.514484,6.690463
"PT-CH_S","""Pont Chauderon""",46.52317,6.624422
"COPOP_N","""Coppoz-Poste""",46.557163,6.635543
"PMOL_E ","""Parc Musée Olympique""",46.507004,6.634555
"GALIC_N","""Galicien""",46.527863,6.601972
