"code_ligne_theo";"direction_voy_theo";"code_arret_theo";"libelle_arret_theo2";"sequence_theo";"montees";"descentes";"geom_arret"
62;"R";"BALAN_S";"Montpreveyres, Balances";26;2188,9717;1616,5217;c(6.73595285415649, 46.5756607055664)
62;"R";"RGRAU_S";"Montpreveyres, Riau-Graubon";27;4485,4287;779,8551;c(6.72501277923584, 46.5752220153809)
62;"R";"STCAT_S";"Lausanne, Ste-Catherine";29;2485,7275;387,9527;c(6.70842504501343, 46.5709953308105)
62;"R";"CHFON_S";"Lausanne, Chalet-Fontaine";30;1764,1825;650,08215;c(6.69966316223145, 46.5678443908691)
62;"R";"CHT_S  ";"Chalet-à-Gobet";31;7624,783;4326,989;c(6.69134283065796, 46.5648651123047)
62;"R";"VBOIS_S";"Vert-Bois";32;5403,5347;2378,8625;c(6.68713283538818, 46.5627708435059)
62;"R";"MARIN_S";"En Marin";33;10954,861;1534,252;c(6.68390607833862, 46.5566864013672)
62;"R";"LION_S ";"Lion d'Or";35;17364,338;2868,4358;c(6.68023300170898, 46.5516967773438)
62;"R";"CROIS_B";"Epalinges, Croisettes";36;179,88782;245795,42;c(6.66161823272705, 46.5431137084961)
64;"A";"CROIS_A";"Epalinges, Croisettes";1;223858,62;0;c(6.66154098510742, 46.5430755615234)
64;"A";"PLANC_N";"Planches";2;1875,8145;3625,3882;c(6.66785717010498, 46.5444679260254)
64;"A";"PREYV_N";"Pré-d'Yverdon";3;2515,6582;24006,29;c(6.67199516296387, 46.5441017150879)
64;"A";"PERON_N";"Perronnaz";5;4032,2205;16613,021;c(6.6793999671936, 46.5423431396484)
64;"A";"HTE-C_N";"Haute Combe";6;1561,004;11301,439;c(6.68455600738525, 46.5446548461914)
64;"A";"MATHY_N";"Chalet à Matthey";7;2196,9165;57829,66;c(6.6913161277771, 46.5508422851562)
64;"A";"MOLLT_N";"Molliettes";8;1291,5479;9278,938;c(6.69372320175171, 46.5530891418457)
64;"A";"VCLB_N ";"Vers-chez-les-Blanc";9;8181,5107;38965,777;c(6.69484901428223, 46.5546722412109)
64;"A";"CHEVR_N";"Chevreuils";10;2250,9934;26998,299;c(6.69674921035767, 46.5587120056152)
64;"A";"PRAZC_N";"Praz-Collet";11;4292,3516;34026,383;c(6.69650506973267, 46.5603218078613)
64;"A";"CHT_B  ";"Chalet-à-Gobet";13;53,599995;272,3;c(6.69150018692017, 46.5648765563965)
64;"A";"VULET_N";"Vulliette";15;0;705,24994;c(6.68110418319702, 46.5583763122559)
64;"R";"CHT_T  ";"Chalet-à-Gobet";1;18971,217;81,04988;c(6.69150018692017, 46.5648765563965)
64;"R";"PRAZC_S";"Praz-Collet";3;31279,018;2407,3416;c(6.69634008407593, 46.5600242614746)
64;"R";"CHEVR_S";"Chevreuils";4;21371,984;1693,9651;c(6.69664716720581, 46.5585517883301)
